  1.00000000e+00   1.00000000e-03   3.91087484e+01
  2.00000000e+00   2.00000000e-03   7.82174967e+01
  3.00000000e+00   3.00000000e-03   1.17326245e+02
  4.00000000e+00   4.00000000e-03   1.56434993e+02
  5.00000000e+00   5.00000000e-03   1.95543742e+02
  6.00000000e+00   6.00000000e-03   2.34652490e+02
  7.00000000e+00   7.00000000e-03   2.73761239e+02
  8.00000000e+00   8.00000000e-03   3.12869987e+02
  9.00000000e+00   9.00000000e-03   3.51978735e+02
  1.00000000e+01   1.00000000e-02   3.91087484e+02
  1.10000000e+01   1.10000000e-02   4.29808125e+02
  1.20000000e+01   1.20000000e-02   4.68504943e+02
  1.30000000e+01   1.30000000e-02   5.07176634e+02
  1.40000000e+01   1.40000000e-02   5.45820581e+02
  1.50000000e+01   1.50000000e-02   5.84433849e+02
  1.60000000e+01   1.60000000e-02   6.23013137e+02
  1.70000000e+01   1.70000000e-02   6.61554760e+02
  1.80000000e+01   1.80000000e-02   7.00054631e+02
  1.90000000e+01   1.90000000e-02   7.38508272e+02
  2.00000000e+01   2.00000000e-02   7.76910856e+02
  2.10000000e+01   2.10000000e-02   8.15257312e+02
  2.20000000e+01   2.20000000e-02   8.53542496e+02
  2.30000000e+01   2.30000000e-02   8.91761468e+02
  2.40000000e+01   2.40000000e-02   9.29909862e+02
  2.50000000e+01   2.50000000e-02   9.67984356e+02
  2.60000000e+01   2.60000000e-02   1.00598316e+03
  2.70000000e+01   2.70000000e-02   1.04390647e+03
  2.80000000e+01   2.80000000e-02   1.08175669e+03
  2.90000000e+01   2.90000000e-02   1.11953840e+03
  3.00000000e+01   3.00000000e-02   1.15725802e+03
  3.10000000e+01   3.10000000e-02   1.19492319e+03
  3.20000000e+01   3.20000000e-02   1.23254203e+03
  3.30000000e+01   3.30000000e-02   1.27012255e+03
  3.40000000e+01   3.40000000e-02   1.30767208e+03
  3.50000000e+01   3.50000000e-02   1.34519703e+03
  3.60000000e+01   3.60000000e-02   1.38270279e+03
  3.70000000e+01   3.70000000e-02   1.42019372e+03
  3.80000000e+01   3.80000000e-02   1.45767327e+03
  3.90000000e+01   3.90000000e-02   1.49514415e+03
  4.00000000e+01   4.00000000e-02   1.53260844e+03
  4.10000000e+01   4.10000000e-02   1.57006770e+03
  4.20000000e+01   4.20000000e-02   1.60752313e+03
  4.30000000e+01   4.30000000e-02   1.64497563e+03
  4.40000000e+01   4.40000000e-02   1.68242587e+03
  4.50000000e+01   4.50000000e-02   1.71987437e+03
  4.60000000e+01   4.60000000e-02   1.75732150e+03
  4.70000000e+01   4.70000000e-02   1.79476756e+03
  4.80000000e+01   4.80000000e-02   1.83221276e+03
  4.90000000e+01   4.90000000e-02   1.86965727e+03
  5.00000000e+01   5.00000000e-02   1.90710122e+03
  5.10000000e+01   5.10000000e-02   1.94454471e+03
  5.20000000e+01   5.20000000e-02   1.98198781e+03
  5.30000000e+01   5.30000000e-02   2.01943059e+03
  5.40000000e+01   5.40000000e-02   2.05687309e+03
  5.50000000e+01   5.50000000e-02   2.09431535e+03
  5.60000000e+01   5.60000000e-02   2.13175741e+03
  5.70000000e+01   5.70000000e-02   2.16919929e+03
  5.80000000e+01   5.80000000e-02   2.20664101e+03
  5.90000000e+01   5.90000000e-02   2.24408260e+03
  6.00000000e+01   6.00000000e-02   2.28152406e+03
