  1.00000000e+00   1.00000000e-03   3.24892454e+00
  2.00000000e+00   2.00000000e-03   6.49784907e+00
  3.00000000e+00   3.00000000e-03   9.74677361e+00
  4.00000000e+00   4.00000000e-03   1.29956981e+01
  5.00000000e+00   5.00000000e-03   1.62446227e+01
  6.00000000e+00   6.00000000e-03   1.94935472e+01
  7.00000000e+00   7.00000000e-03   2.27424718e+01
  8.00000000e+00   8.00000000e-03   2.59913963e+01
  9.00000000e+00   9.00000000e-03   2.92403208e+01
  1.00000000e+01   1.00000000e-02   3.24151690e+01
  1.10000000e+01   1.10000000e-02   3.48704491e+01
  1.20000000e+01   1.20000000e-02   3.72792303e+01
  1.30000000e+01   1.30000000e-02   3.96368501e+01
  1.40000000e+01   1.40000000e-02   4.19380648e+01
  1.50000000e+01   1.50000000e-02   4.41769964e+01
  1.60000000e+01   1.60000000e-02   4.63470796e+01
  1.70000000e+01   1.70000000e-02   4.84410263e+01
  1.80000000e+01   1.80000000e-02   5.04508197e+01
  1.90000000e+01   1.90000000e-02   5.23677592e+01
  2.00000000e+01   2.00000000e-02   5.41825855e+01
  2.10000000e+01   2.10000000e-02   5.58857180e+01
  2.20000000e+01   2.20000000e-02   5.74676419e+01
  2.30000000e+01   2.30000000e-02   5.89194730e+01
  2.40000000e+01   2.40000000e-02   6.02336992e+01
  2.50000000e+01   2.50000000e-02   6.14050494e+01
  2.60000000e+01   2.60000000e-02   6.24313689e+01
  2.70000000e+01   2.70000000e-02   6.33143136e+01
  2.80000000e+01   2.80000000e-02   6.40596553e+01
  2.90000000e+01   2.90000000e-02   6.46770485e+01
  3.00000000e+01   3.00000000e-02   6.51792531e+01
  3.10000000e+01   3.10000000e-02   6.55809715e+01
  3.20000000e+01   3.20000000e-02   6.58975658e+01
  3.30000000e+01   3.30000000e-02   6.61439196e+01
  3.40000000e+01   3.40000000e-02   6.63336118e+01
  3.50000000e+01   3.50000000e-02   6.64784524e+01
  3.60000000e+01   3.60000000e-02   6.65883298e+01
  3.70000000e+01   3.70000000e-02   6.66712816e+01
  3.80000000e+01   3.80000000e-02   6.67336919e+01
  3.90000000e+01   3.90000000e-02   6.67805428e+01
  4.00000000e+01   4.00000000e-02   6.68156704e+01
  4.10000000e+01   4.10000000e-02   6.68419993e+01
  4.20000000e+01   4.20000000e-02   6.68617417e+01
  4.30000000e+01   4.30000000e-02   6.68765623e+01
  4.40000000e+01   4.40000000e-02   6.68877084e+01
  4.50000000e+01   4.50000000e-02   6.68961123e+01
  4.60000000e+01   4.60000000e-02   6.69024688e+01
  4.70000000e+01   4.70000000e-02   6.69072958e+01
  4.80000000e+01   4.80000000e-02   6.69109784e+01
  4.90000000e+01   4.90000000e-02   6.69138033e+01
  5.00000000e+01   5.00000000e-02   6.69159839e+01
  5.10000000e+01   5.10000000e-02   6.69176791e+01
  5.20000000e+01   5.20000000e-02   6.69190072e+01
  5.30000000e+01   5.30000000e-02   6.69200566e+01
  5.40000000e+01   5.40000000e-02   6.69208933e+01
  5.50000000e+01   5.50000000e-02   6.69215668e+01
  5.60000000e+01   5.60000000e-02   6.69221143e+01
  5.70000000e+01   5.70000000e-02   6.69225638e+01
  5.80000000e+01   5.80000000e-02   6.69229364e+01
  5.90000000e+01   5.90000000e-02   6.69232483e+01
  6.00000000e+01   6.00000000e-02   6.69235116e+01
